agent_id,item_id,domain,subdomain,tier,n_reps,n_successes,s,y,total_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_latency_s,mean_latency_s,n_partial,n_fail,n_yes,n_no,n_null,n_empty_response,s_partial_weighted,grader_type
gpt-5-reasoning,AF-AFD-5,AF,AFD,4,5,5,1.0,2,1355,17062,16192,371.897,74.379,0,0,0,0,0,0,1.0,
gpt-5-reasoning,SOC-IPR-4,SOC,IPR,4,5,5,1.0,2,1280,7971,4800,110.087,22.017,0,0,0,0,0,0,1.0,
gpt-5-reasoning,CM-REC-4,CM,REC,4,5,0,0.0,0,1460,4860,4352,87.515,17.503,0,0,0,0,0,0,0.0,
gpt-5-reasoning,AF-AFD-6,AF,AFD,5,5,5,1.0,2,1575,20480,20480,645.651,129.13,0,0,0,0,0,0,1.0,
gpt-5-reasoning,SOC-COP-4,SOC,COP,4,5,5,1.0,2,1165,4395,3456,77.311,15.462,0,0,0,0,0,0,1.0,
gpt-5-reasoning,CM-REC-1,CM,REC,1,5,5,1.0,2,500,741,448,19.13,3.826,0,0,0,0,0,0,1.0,
gpt-5-reasoning,AF-WMM-5,AF,WMM,3,5,0,0.0,0,1085,7040,6400,122.387,24.477,0,0,0,0,0,0,0.0,
gpt-5-reasoning,AF-WMM-2,AF,WMM,1,5,5,1.0,2,520,1891,1344,45.109,9.022,0,0,0,0,0,0,1.0,
gpt-5-reasoning,CM-EXP-4,CM,EXP,4,5,0,0.0,0,2968,11053,9274,291.954,58.391,0,0,0,0,0,0,0.0,
gpt-5-reasoning,CM-EXP-3,CM,EXP,1,5,5,1.0,2,290,2123,1856,42.13,8.426,0,0,0,0,0,0,1.0,
gpt-5-reasoning,AF-TOL-1,AF,TOL,1,5,5,1.0,2,370,1367,1088,23.313,4.663,0,0,0,0,0,0,1.0,
gpt-5-reasoning,DLS-DOM-2,DLS,DOM,2,5,5,1.0,2,260,2630,2240,55.788,11.158,0,0,0,0,0,0,1.0,
gpt-5-reasoning,AF-TOL-5,AF,TOL,5,5,0,0.0,0,1150,14639,13376,185.679,37.136,0,0,0,0,0,0,0.0,
o3,SOC-COP-4,SOC,COP,4,5,5,1.0,2,1165,1554,704,27.149,5.43,0,0,0,0,0,0,1.0,
o3,CM-REC-4,CM,REC,4,5,0,0.0,0,1460,3316,2752,35.273,7.055,0,0,0,0,0,0,0.0,
o3,CM-REC-1,CM,REC,1,5,5,1.0,2,500,428,393,18.367,3.673,0,0,0,0,0,0,1.0,
o3,AF-TOL-1,AF,TOL,1,5,5,1.0,2,370,702,384,11.788,2.358,0,0,0,0,0,0,1.0,
o3,AF-TOL-5,AF,TOL,5,5,0,0.0,0,1150,5000,3776,52.784,10.557,0,0,0,0,0,0,0.0,
o3,AF-WMM-5,AF,WMM,3,5,0,0.0,0,1085,4746,3712,48.793,9.759,0,0,0,0,0,0,0.0,
o3,AF-CTX-4,AF,CTX,3,5,5,1.0,2,1205,1520,896,30.091,6.018,0,0,0,0,0,0,1.0,
o3,AF-AFD-5,AF,AFD,4,5,4,0.8,2,1355,6416,4864,80.389,16.078,0,0,0,0,0,0,0.8,
o3,AF-WMM-2,AF,WMM,1,5,5,1.0,2,520,779,320,16.744,3.349,0,0,0,0,0,0,1.0,
o3,CM-EXP-4,CM,EXP,4,5,0,0.0,0,970,4289,1152,49.174,9.835,0,0,0,0,0,0,0.0,
o3,AF-AFD-6,AF,AFD,5,5,4,0.8,2,1575,15390,12352,134.629,26.926,0,0,0,0,0,0,0.8,
o3,CM-EXP-3,CM,EXP,1,5,5,1.0,2,290,675,424,32.28,6.456,0,0,0,0,0,0,1.0,
o3,DLS-DOM-2,DLS,DOM,2,5,5,1.0,2,260,1397,1024,30.276,6.055,0,0,0,0,0,0,1.0,
o3,DLS-PER-3,DLS,PER,3,5,5,1.0,2,605,4134,832,44.774,8.955,0,0,0,0,0,0,1.0,
o3,DLS-PER-5,DLS,PER,5,5,5,1.0,2,1175,5772,1397,59.357,11.871,0,0,0,0,0,0,1.0,
o3,SOC-IPR-4,SOC,IPR,4,5,5,1.0,2,1280,3316,1088,39.73,7.946,0,0,0,0,0,0,1.0,
gemma-4-26b-a4b-it-free,AF-TOL-5,AF,TOL,5,3,0,0.0,0,774,1212,0,30.181,6.036,0,0,0,0,2,0,0.0,
